Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Brown sugar cane by FRUSECHA",28.0,g,0.25 cup

Nutrient,Amount,Unit,DV
Calories,100,,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Calcium",10.08,mg,1 %
"Iron",0.09,mg,0 %
"Sodium",0.00,mg,0 %
"Protein",0.00,g,0 %
"Carbohydrate",24.00,g,9 %
"Fiber",0.00,g,0 %
"Sugars",23.00,g,
"Net carbs",24,g,
"Fat",0.000,g,0 %
"Saturated fatty acids",0.000,g,0 %
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
