Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Xanthan gum by NAMASTE",10,g,

Nutrient,Amount,Unit,DV
Calories,33,,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Calcium",0.00,mg,0 %
"Iron",0.00,mg,0 %
"Sodium",288.90,mg,13 %
"Protein",0.00,g,0 %
"Carbohydrate",7.78,g,3 %
"Fiber",7.78,g,28 %
"Sugars",0.00,g,
"Net carbs",0,g,
"Fat",0.000,g,0 %
"Saturated fatty acids",0.000,g,0 %
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
